ID,¿Cúal es tu horario de trabajo normalmnete ?,¿Eres madrugador o nocturno?,¿Prefieres un sitio ruidoso o silencioso?,¿Cúal es tu nivel educativo?,¿Te gusta leer?,¿Te gusta ir al cine?,¿Practicas algun deporte o actividad recreativa?,¿Prefieres vivir con mascotas o sin mascotas?,¿Te gusta cocinar ?,¿Sigues alguna dieta?,¿Te gusta fumar?,¿Te visitan frecuentemente?,¿eres una persona ordenada o relajada ?,¿Qué generos de musica te gustan?,¿Acostumbras escuchar musica en volumen alto?,¿Tu plan perfecto seria tarde de pelis o salir a algun lugar a divertirte?,¿Tocas algun instrumento musical?
1915,mañana,nocturno,ruidoso,preparatoria,no,no,si,con mascotas,si,si,no,no,ordenada,rock,si,pelis,no
1916,mañana,nocturno,ruidoso,preparatoria,no,no,no,sin mascotas,no,si,si,no,ordenada,rock,no,salir,si
1917,mañana,nocturno,ruidoso,preparatoria,si,no,si,con mascotas,no,si,no,no,relajado,cumbia,si,salir,no
1918,noche,madrugador,silencioso,secundaria,no,no,no,con mascotas,no,no,si,no,relajado,salsa,si,salir,no
1919,mañana,madrugador,silencioso,secundaria,no,no,no,sin mascotas,no,no,si,no,relajado,salsa,si,pelis,si
1920,noche,madrugador,silencioso,preparatoria,no,no,si,con mascotas,no,si,no,no,relajado,pop,si,salir,no
1921,tarde,nocturno,ruidoso,secundaria,si,si,no,sin mascotas,si,no,no,no,relajado,electronica,no,salir,si
1922,mañana,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,no,si,no,no,ordenada,cumbia,si,salir,no
1923,tarde,nocturno,ruidoso,universidad,no,si,no,con mascotas,no,no,no,si,ordenada,electronica,no,pelis,si
1924,mañana,madrugador,ruidoso,secundaria,si,si,si,sin mascotas,no,no,si,no,ordenada,cumbia,si,pelis,si
1925,noche,nocturno,silencioso,preparatoria,no,si,si,sin mascotas,si,no,no,no,ordenada,electronica,si,pelis,si
1926,tarde,nocturno,silencioso,universidad,si,no,si,sin mascotas,no,si,si,no,relajado,rock,no,pelis,si
1927,mañana,madrugador,ruidoso,preparatoria,no,no,no,con mascotas,si,si,no,no,relajado,rock,no,pelis,no
1928,noche,madrugador,silencioso,universidad,no,si,si,con mascotas,si,si,si,si,relajado,pop,no,pelis,no
1929,mañana,nocturno,ruidoso,secundaria,no,si,si,con mascotas,no,no,no,si,ordenada,cumbia,no,pelis,si
1930,noche,madrugador,ruidoso,secundaria,no,si,no,sin mascotas,si,no,si,si,relajado,pop,no,pelis,no
1931,mañana,madrugador,silencioso,preparatoria,no,si,no,sin mascotas,no,no,si,no,relajado,salsa,no,pelis,si
1932,tarde,madrugador,ruidoso,preparatoria,si,si,si,sin mascotas,no,si,no,no,relajado,cumbia,no,pelis,si
1933,tarde,nocturno,ruidoso,preparatoria,no,si,si,con mascotas,no,si,no,no,relajado,cumbia,no,pelis,si
1934,mañana,madrugador,ruidoso,secundaria,si,si,no,con mascotas,si,no,si,no,relajado,salsa,si,salir,si
1935,noche,nocturno,silencioso,preparatoria,no,si,no,con mascotas,si,si,si,no,relajado,pop,si,salir,no
1936,noche,madrugador,ruidoso,universidad,no,si,si,con mascotas,no,si,si,no,relajado,rock,si,salir,no
1937,noche,madrugador,silencioso,universidad,si,no,no,con mascotas,si,no,no,si,relajado,cumbia,no,pelis,si
1938,mañana,nocturno,silencioso,universidad,no,no,si,sin mascotas,si,si,no,si,relajado,salsa,no,salir,si
1939,mañana,madrugador,ruidoso,preparatoria,no,no,no,sin mascotas,no,si,no,si,relajado,pop,si,pelis,no
1940,tarde,nocturno,silencioso,universidad,no,si,no,sin mascotas,no,si,no,no,relajado,rock,no,salir,no
1941,noche,nocturno,ruidoso,secundaria,no,si,no,con mascotas,si,no,no,si,relajado,salsa,si,salir,si
1942,noche,madrugador,ruidoso,universidad,no,no,si,sin mascotas,no,si,si,no,ordenada,electronica,no,pelis,no
1943,noche,nocturno,ruidoso,preparatoria,si,no,no,con mascotas,si,no,no,no,relajado,cumbia,si,salir,si
1944,mañana,madrugador,silencioso,universidad,no,si,si,con mascotas,no,si,no,no,relajado,electronica,no,salir,no
1945,tarde,nocturno,silencioso,preparatoria,si,si,no,sin mascotas,si,si,si,no,relajado,salsa,si,pelis,si
1946,mañana,nocturno,ruidoso,universidad,si,si,si,sin mascotas,si,no,no,si,relajado,pop,si,salir,no
1947,tarde,madrugador,silencioso,preparatoria,no,no,no,con mascotas,si,si,no,si,ordenada,salsa,si,pelis,si
1948,mañana,madrugador,ruidoso,preparatoria,si,si,si,sin mascotas,si,no,no,si,ordenada,electronica,si,pelis,si
1949,mañana,nocturno,silencioso,preparatoria,no,no,si,sin mascotas,si,no,no,no,ordenada,salsa,no,pelis,si
1950,noche,madrugador,ruidoso,secundaria,si,si,no,sin mascotas,no,si,si,no,relajado,salsa,si,salir,si
1951,mañana,nocturno,silencioso,preparatoria,si,si,si,con mascotas,si,no,si,no,ordenada,salsa,si,salir,si
1952,mañana,nocturno,ruidoso,universidad,si,si,no,sin mascotas,no,no,si,si,ordenada,electronica,no,pelis,si
1953,noche,nocturno,silencioso,preparatoria,no,si,si,con mascotas,si,no,si,si,relajado,rock,no,salir,si
1954,mañana,nocturno,ruidoso,preparatoria,si,no,no,sin mascotas,no,si,si,no,relajado,electronica,si,pelis,no
1955,noche,nocturno,silencioso,secundaria,no,no,no,con mascotas,si,si,si,no,ordenada,salsa,si,salir,si
1956,mañana,madrugador,silencioso,preparatoria,no,no,si,sin mascotas,no,si,si,si,ordenada,pop,si,salir,si
1957,mañana,nocturno,silencioso,secundaria,no,si,no,con mascotas,si,si,si,no,ordenada,salsa,no,salir,no
1958,mañana,madrugador,silencioso,preparatoria,no,si,no,con mascotas,no,no,no,si,ordenada,pop,no,pelis,si
1959,mañana,nocturno,silencioso,secundaria,si,si,si,sin mascotas,si,si,si,no,ordenada,rock,no,salir,si
1960,noche,nocturno,ruidoso,universidad,si,no,si,sin mascotas,no,no,no,no,ordenada,salsa,si,pelis,no
1961,mañana,madrugador,silencioso,preparatoria,no,no,si,sin mascotas,si,si,si,no,ordenada,cumbia,no,pelis,no
1962,mañana,madrugador,silencioso,preparatoria,si,no,no,con mascotas,si,si,no,no,ordenada,pop,si,salir,si
1963,mañana,madrugador,ruidoso,universidad,no,si,si,sin mascotas,si,no,no,si,ordenada,electronica,si,pelis,no
1964,noche,nocturno,silencioso,universidad,no,si,no,sin mascotas,si,no,no,si,relajado,cumbia,si,pelis,si
1965,tarde,madrugador,silencioso,universidad,si,no,si,sin mascotas,si,si,si,no,ordenada,cumbia,si,salir,si
1966,mañana,madrugador,ruidoso,preparatoria,si,no,no,sin mascotas,no,no,si,no,ordenada,cumbia,no,pelis,no
1967,tarde,madrugador,silencioso,universidad,no,no,no,con mascotas,no,si,no,si,relajado,electronica,si,salir,si
1968,tarde,nocturno,silencioso,universidad,no,si,no,con mascotas,si,no,no,no,relajado,cumbia,si,pelis,no
1969,tarde,nocturno,silencioso,secundaria,si,si,no,con mascotas,si,no,si,si,ordenada,cumbia,si,pelis,no
1970,tarde,madrugador,silencioso,universidad,no,si,si,con mascotas,si,no,no,si,relajado,rock,si,salir,no
1971,mañana,nocturno,silencioso,secundaria,si,si,no,con mascotas,no,si,no,no,relajado,cumbia,si,pelis,no
1972,mañana,nocturno,ruidoso,universidad,no,si,no,con mascotas,si,si,si,no,relajado,salsa,si,salir,no
1973,tarde,nocturno,silencioso,universidad,no,no,no,con mascotas,no,si,no,no,relajado,cumbia,no,pelis,no
1974,mañana,madrugador,ruidoso,preparatoria,si,no,si,sin mascotas,si,no,si,si,relajado,rock,no,salir,no
1975,tarde,nocturno,ruidoso,preparatoria,si,si,no,con mascotas,no,si,no,no,relajado,salsa,si,salir,no
1976,noche,madrugador,silencioso,preparatoria,no,si,si,con mascotas,no,si,no,no,relajado,pop,si,salir,no
1977,tarde,madrugador,ruidoso,preparatoria,no,no,si,con mascotas,si,si,si,si,relajado,electronica,si,salir,si
1978,tarde,madrugador,ruidoso,secundaria,no,no,no,sin mascotas,si,no,no,no,relajado,pop,no,pelis,si
1979,tarde,madrugador,silencioso,universidad,no,si,no,sin mascotas,si,si,no,si,relajado,rock,no,pelis,no
1980,mañana,nocturno,silencioso,preparatoria,no,si,no,sin mascotas,no,si,no,no,ordenada,cumbia,no,pelis,no
1981,noche,nocturno,silencioso,secundaria,si,si,no,con mascotas,no,si,si,si,relajado,rock,si,pelis,si
1982,mañana,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,si,no,si,si,ordenada,pop,no,pelis,si
1983,noche,nocturno,silencioso,secundaria,si,si,si,con mascotas,no,no,no,no,relajado,rock,si,salir,si
1984,mañana,madrugador,ruidoso,secundaria,si,si,no,con mascotas,no,si,no,no,relajado,pop,si,pelis,no
1985,noche,madrugador,silencioso,secundaria,no,si,no,sin mascotas,no,no,si,si,ordenada,cumbia,no,salir,no
1986,noche,madrugador,silencioso,preparatoria,no,no,no,sin mascotas,si,no,no,no,relajado,salsa,no,pelis,no
1987,mañana,nocturno,ruidoso,universidad,no,no,no,sin mascotas,si,si,si,si,ordenada,salsa,si,pelis,si
1988,mañana,nocturno,ruidoso,secundaria,no,si,si,sin mascotas,no,no,si,no,relajado,pop,no,salir,no
1989,mañana,nocturno,silencioso,universidad,si,si,no,sin mascotas,no,si,si,no,ordenada,rock,no,pelis,no
1990,noche,madrugador,ruidoso,secundaria,no,si,no,sin mascotas,no,no,si,no,relajado,pop,si,pelis,no
1991,noche,nocturno,silencioso,secundaria,si,no,si,sin mascotas,no,si,si,no,ordenada,electronica,si,pelis,no
1992,noche,madrugador,ruidoso,secundaria,si,no,no,sin mascotas,no,si,no,si,relajado,cumbia,si,pelis,si
1993,mañana,madrugador,silencioso,preparatoria,si,si,si,sin mascotas,si,no,si,no,ordenada,electronica,no,salir,si
1994,tarde,madrugador,ruidoso,preparatoria,si,no,no,con mascotas,si,si,si,si,relajado,rock,si,pelis,no
1995,tarde,nocturno,silencioso,preparatoria,no,si,no,con mascotas,si,no,si,si,relajado,pop,no,salir,no
1996,noche,madrugador,silencioso,preparatoria,no,si,no,sin mascotas,no,si,no,no,relajado,salsa,si,salir,no
1997,noche,nocturno,silencioso,universidad,si,no,no,con mascotas,si,si,no,si,relajado,salsa,si,pelis,si
1998,tarde,nocturno,ruidoso,universidad,si,si,no,con mascotas,no,si,si,si,relajado,electronica,no,salir,no
1999,noche,madrugador,silencioso,secundaria,si,no,no,sin mascotas,si,si,si,si,relajado,salsa,no,salir,no
2000,tarde,nocturno,ruidoso,preparatoria,no,no,si,con mascotas,no,no,si,si,ordenada,pop,si,salir,no
2001,tarde,madrugador,silencioso,preparatoria,si,no,si,con mascotas,no,si,si,no,ordenada,pop,no,salir,no
2002,mañana,madrugador,ruidoso,preparatoria,si,no,si,con mascotas,si,no,no,no,relajado,cumbia,no,salir,no
2003,noche,madrugador,silencioso,preparatoria,si,si,si,sin mascotas,si,si,no,no,relajado,electronica,si,pelis,si
2004,tarde,madrugador,ruidoso,preparatoria,si,si,si,sin mascotas,si,si,si,si,relajado,pop,no,pelis,si
2005,tarde,madrugador,ruidoso,secundaria,si,no,si,sin mascotas,no,si,si,no,ordenada,rock,si,pelis,si
2006,noche,madrugador,ruidoso,universidad,no,si,no,con mascotas,no,no,no,si,ordenada,electronica,si,salir,si
2007,noche,nocturno,ruidoso,secundaria,no,no,si,con mascotas,si,si,no,si,ordenada,salsa,no,pelis,no
2008,noche,madrugador,silencioso,secundaria,si,si,si,sin mascotas,si,si,si,no,ordenada,rock,si,pelis,no
2009,noche,nocturno,ruidoso,universidad,no,no,no,con mascotas,no,no,si,si,relajado,pop,si,pelis,si
2010,tarde,nocturno,silencioso,universidad,si,si,si,sin mascotas,no,si,no,si,relajado,electronica,no,salir,no
2011,tarde,nocturno,silencioso,universidad,si,no,no,sin mascotas,no,si,no,no,ordenada,pop,si,pelis,no
2012,noche,nocturno,ruidoso,preparatoria,si,no,no,sin mascotas,si,si,no,si,relajado,electronica,no,pelis,no
2013,noche,madrugador,silencioso,universidad,si,si,si,sin mascotas,si,no,si,si,relajado,pop,si,salir,no
2014,tarde,nocturno,ruidoso,universidad,si,no,no,sin mascotas,si,no,si,no,ordenada,cumbia,no,salir,no
2015,mañana,nocturno,silencioso,secundaria,no,si,no,sin mascotas,no,si,si,si,ordenada,salsa,no,salir,no
2016,tarde,madrugador,ruidoso,universidad,si,si,si,sin mascotas,no,no,si,si,relajado,cumbia,si,pelis,si
2017,tarde,nocturno,ruidoso,preparatoria,si,no,no,con mascotas,no,si,no,no,ordenada,rock,no,pelis,no
2018,tarde,nocturno,ruidoso,preparatoria,no,si,no,sin mascotas,si,si,si,si,relajado,cumbia,no,salir,si
2019,tarde,madrugador,silencioso,universidad,si,no,si,sin mascotas,si,no,no,no,relajado,cumbia,si,salir,si
2020,noche,madrugador,ruidoso,universidad,si,no,no,sin mascotas,no,no,no,si,ordenada,electronica,no,pelis,si
2021,tarde,nocturno,silencioso,preparatoria,no,no,si,sin mascotas,no,si,no,no,ordenada,pop,no,salir,si
2022,mañana,madrugador,ruidoso,preparatoria,si,no,si,con mascotas,no,no,si,si,relajado,cumbia,no,pelis,si
2023,noche,madrugador,ruidoso,universidad,no,si,si,con mascotas,si,si,no,no,relajado,rock,no,salir,si
2024,tarde,nocturno,silencioso,preparatoria,no,si,no,sin mascotas,no,no,si,no,ordenada,rock,si,pelis,si
2025,mañana,madrugador,ruidoso,universidad,no,no,no,con mascotas,no,si,si,si,relajado,electronica,si,salir,no
2026,noche,madrugador,silencioso,preparatoria,no,no,si,sin mascotas,no,no,no,si,relajado,electronica,no,pelis,si
2027,tarde,madrugador,silencioso,secundaria,no,no,no,sin mascotas,si,si,si,no,ordenada,electronica,no,salir,si
2028,mañana,madrugador,silencioso,universidad,si,si,si,con mascotas,no,si,no,no,ordenada,salsa,si,pelis,si
2029,noche,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,si,no,no,no,relajado,electronica,si,salir,si
2030,tarde,madrugador,silencioso,secundaria,si,no,no,con mascotas,si,no,no,si,ordenada,salsa,no,salir,no
2031,noche,madrugador,ruidoso,secundaria,no,no,si,sin mascotas,no,no,no,si,relajado,pop,no,salir,si
2032,tarde,nocturno,silencioso,secundaria,no,si,no,sin mascotas,no,no,si,no,ordenada,electronica,si,pelis,si
2033,noche,madrugador,silencioso,secundaria,no,si,no,con mascotas,no,no,no,no,ordenada,salsa,si,pelis,no
2034,tarde,nocturno,silencioso,secundaria,si,si,no,sin mascotas,no,si,no,no,relajado,pop,no,salir,si
2035,tarde,nocturno,silencioso,preparatoria,si,no,si,con mascotas,no,no,si,si,relajado,cumbia,si,pelis,no
2036,noche,nocturno,silencioso,universidad,si,no,no,sin mascotas,si,si,no,no,relajado,salsa,no,salir,si
2037,tarde,nocturno,silencioso,preparatoria,no,no,no,sin mascotas,si,si,si,si,ordenada,cumbia,no,salir,si
2038,noche,nocturno,ruidoso,universidad,si,si,no,con mascotas,no,si,no,si,ordenada,rock,no,pelis,si
2039,tarde,madrugador,silencioso,preparatoria,no,no,si,con mascotas,si,si,no,no,ordenada,pop,si,pelis,no
2040,tarde,madrugador,ruidoso,preparatoria,no,si,si,sin mascotas,no,si,no,si,relajado,electronica,no,salir,si
2041,noche,madrugador,ruidoso,secundaria,si,si,no,sin mascotas,si,no,si,no,relajado,electronica,si,pelis,no
2042,tarde,nocturno,ruidoso,secundaria,no,no,no,sin mascotas,no,no,si,si,ordenada,electronica,si,salir,si
2043,tarde,madrugador,ruidoso,universidad,si,no,no,con mascotas,si,si,no,no,ordenada,cumbia,si,pelis,no
2044,mañana,nocturno,silencioso,preparatoria,no,si,no,sin mascotas,si,no,no,no,ordenada,rock,no,pelis,si
2045,tarde,madrugador,silencioso,preparatoria,si,no,no,sin mascotas,si,no,no,si,ordenada,salsa,no,salir,si
2046,mañana,madrugador,silencioso,preparatoria,no,si,si,con mascotas,no,si,no,si,relajado,salsa,si,pelis,no
2047,tarde,madrugador,ruidoso,universidad,no,no,no,con mascotas,si,no,si,si,ordenada,pop,si,pelis,si
2048,mañana,madrugador,ruidoso,preparatoria,no,no,si,con mascotas,si,si,no,no,relajado,cumbia,no,pelis,si
2049,noche,nocturno,ruidoso,preparatoria,si,si,no,con mascotas,no,si,no,si,ordenada,salsa,si,salir,no
2050,noche,nocturno,silencioso,secundaria,si,no,no,sin mascotas,si,si,no,si,ordenada,pop,no,salir,no
2051,mañana,nocturno,silencioso,preparatoria,si,si,si,sin mascotas,no,no,no,si,relajado,salsa,si,salir,si
2052,mañana,madrugador,ruidoso,secundaria,no,si,si,sin mascotas,no,si,no,si,ordenada,electronica,no,salir,si
2053,mañana,madrugador,ruidoso,universidad,no,no,si,sin mascotas,si,no,no,si,relajado,pop,no,pelis,no
2054,mañana,nocturno,ruidoso,secundaria,no,si,si,sin mascotas,si,no,no,no,ordenada,cumbia,no,salir,no
2055,mañana,nocturno,silencioso,secundaria,no,si,si,sin mascotas,no,no,no,no,ordenada,electronica,si,pelis,si
2056,tarde,nocturno,ruidoso,preparatoria,no,si,si,sin mascotas,si,no,no,no,relajado,electronica,si,salir,si
2057,mañana,madrugador,silencioso,preparatoria,si,si,no,sin mascotas,si,si,no,si,ordenada,pop,no,pelis,si
2058,tarde,nocturno,silencioso,universidad,no,si,si,con mascotas,si,si,si,no,ordenada,rock,no,salir,no
2059,noche,nocturno,ruidoso,universidad,no,si,si,sin mascotas,no,no,si,si,relajado,cumbia,si,salir,si
2060,noche,nocturno,ruidoso,universidad,si,si,si,sin mascotas,si,si,si,si,relajado,cumbia,no,salir,si
2061,tarde,nocturno,silencioso,universidad,no,no,no,con mascotas,si,si,no,no,relajado,electronica,no,pelis,no
2062,tarde,madrugador,silencioso,preparatoria,no,no,si,con mascotas,no,si,no,si,relajado,electronica,no,salir,si
2063,noche,nocturno,silencioso,universidad,no,no,no,sin mascotas,no,si,si,no,relajado,electronica,no,salir,si
2064,mañana,nocturno,silencioso,universidad,no,no,si,con mascotas,no,no,si,no,ordenada,pop,si,salir,si
2065,noche,nocturno,silencioso,secundaria,no,no,si,con mascotas,no,no,si,no,relajado,cumbia,si,pelis,si
2066,tarde,nocturno,silencioso,secundaria,no,si,no,con mascotas,no,no,no,no,relajado,pop,si,pelis,no
2067,mañana,madrugador,ruidoso,secundaria,no,si,no,sin mascotas,si,no,si,no,relajado,pop,no,pelis,no
2068,tarde,madrugador,ruidoso,universidad,si,si,si,con mascotas,si,no,no,si,ordenada,salsa,no,salir,no
2069,tarde,madrugador,ruidoso,secundaria,no,no,si,con mascotas,no,si,si,si,ordenada,salsa,si,pelis,no
2070,tarde,nocturno,silencioso,secundaria,si,no,si,con mascotas,si,no,si,no,ordenada,rock,si,pelis,no
2071,mañana,nocturno,silencioso,universidad,no,si,si,sin mascotas,no,si,no,si,relajado,pop,si,salir,no
2072,noche,madrugador,silencioso,preparatoria,no,no,si,con mascotas,si,si,si,si,ordenada,rock,si,pelis,si
2073,mañana,nocturno,ruidoso,secundaria,si,si,no,sin mascotas,no,no,no,si,ordenada,pop,si,pelis,si
2074,mañana,madrugador,ruidoso,universidad,si,si,si,con mascotas,no,si,no,no,relajado,cumbia,si,salir,no
2075,noche,madrugador,silencioso,secundaria,no,si,si,con mascotas,no,si,si,si,relajado,electronica,si,pelis,no
2076,mañana,madrugador,ruidoso,secundaria,no,no,no,con mascotas,si,no,no,si,ordenada,salsa,si,salir,no
2077,tarde,nocturno,ruidoso,secundaria,si,no,no,sin mascotas,si,si,no,si,ordenada,cumbia,no,pelis,si
2078,noche,madrugador,silencioso,universidad,si,si,si,con mascotas,no,no,si,no,relajado,cumbia,si,pelis,si
2079,noche,nocturno,silencioso,preparatoria,no,no,si,sin mascotas,si,si,si,si,ordenada,cumbia,no,salir,no
2080,noche,nocturno,silencioso,universidad,si,si,si,sin mascotas,si,si,no,si,relajado,salsa,si,pelis,no
2081,tarde,madrugador,ruidoso,universidad,si,no,si,sin mascotas,no,si,si,no,ordenada,rock,no,pelis,no
2082,mañana,madrugador,ruidoso,universidad,no,si,no,con mascotas,no,si,si,si,ordenada,pop,no,salir,no
2083,noche,nocturno,silencioso,secundaria,no,no,si,sin mascotas,no,no,si,si,relajado,electronica,no,salir,si
2084,noche,nocturno,ruidoso,preparatoria,si,si,si,sin mascotas,no,si,si,si,ordenada,rock,si,pelis,no
2085,tarde,nocturno,ruidoso,universidad,no,si,si,con mascotas,no,si,no,si,ordenada,salsa,no,salir,si
2086,tarde,madrugador,silencioso,preparatoria,no,no,no,con mascotas,si,si,no,no,ordenada,cumbia,si,salir,si
2087,mañana,madrugador,silencioso,universidad,no,si,no,sin mascotas,si,si,no,no,relajado,cumbia,no,pelis,no
2088,noche,madrugador,silencioso,preparatoria,no,si,no,con mascotas,si,si,no,si,relajado,salsa,si,salir,si
2089,mañana,nocturno,silencioso,universidad,si,no,si,con mascotas,no,no,no,no,relajado,cumbia,si,salir,si
2090,mañana,nocturno,ruidoso,secundaria,si,no,si,sin mascotas,si,no,si,no,ordenada,pop,no,pelis,si
2091,noche,nocturno,ruidoso,secundaria,si,si,no,sin mascotas,no,si,no,no,ordenada,rock,si,pelis,no
2092,tarde,nocturno,silencioso,preparatoria,no,si,si,sin mascotas,no,si,no,si,relajado,cumbia,no,pelis,no
2093,tarde,nocturno,ruidoso,secundaria,no,si,si,con mascotas,no,si,no,si,ordenada,cumbia,no,pelis,si
2094,noche,madrugador,silencioso,universidad,si,si,no,con mascotas,no,no,no,si,ordenada,rock,si,salir,no
2095,noche,madrugador,ruidoso,preparatoria,si,no,no,sin mascotas,no,si,no,si,relajado,electronica,no,salir,si
2096,mañana,madrugador,ruidoso,preparatoria,no,si,no,con mascotas,no,si,si,no,ordenada,pop,no,salir,no
2097,tarde,madrugador,silencioso,secundaria,si,no,no,sin mascotas,no,no,no,si,ordenada,salsa,si,pelis,no
2098,tarde,nocturno,silencioso,secundaria,si,si,si,con mascotas,si,si,si,no,relajado,cumbia,no,salir,si
2099,noche,madrugador,silencioso,preparatoria,si,si,si,sin mascotas,no,no,no,no,ordenada,rock,no,salir,no
2100,noche,madrugador,ruidoso,secundaria,si,si,no,sin mascotas,no,si,si,si,relajado,pop,si,pelis,no
2101,mañana,nocturno,silencioso,secundaria,si,no,no,con mascotas,no,si,no,si,ordenada,electronica,no,pelis,no
2102,noche,madrugador,silencioso,universidad,si,si,no,con mascotas,si,no,no,no,relajado,cumbia,no,pelis,si
2103,mañana,nocturno,silencioso,universidad,no,si,si,sin mascotas,no,si,no,si,relajado,pop,si,pelis,no
2104,mañana,madrugador,silencioso,preparatoria,si,no,no,sin mascotas,no,si,si,no,ordenada,electronica,si,salir,no
2105,noche,madrugador,ruidoso,preparatoria,si,no,si,sin mascotas,si,no,no,si,ordenada,electronica,si,pelis,si
2106,tarde,madrugador,silencioso,secundaria,si,no,no,con mascotas,si,si,no,si,ordenada,electronica,si,pelis,si
2107,tarde,nocturno,ruidoso,universidad,no,no,si,sin mascotas,si,si,si,si,relajado,pop,si,salir,no
2108,mañana,madrugador,ruidoso,universidad,no,no,no,con mascotas,si,no,si,si,ordenada,rock,si,salir,si
2109,mañana,nocturno,ruidoso,secundaria,no,no,no,sin mascotas,si,no,no,si,ordenada,pop,no,salir,si
2110,mañana,nocturno,ruidoso,preparatoria,no,si,si,sin mascotas,no,no,no,si,relajado,rock,si,pelis,no
2111,noche,nocturno,ruidoso,secundaria,si,si,si,sin mascotas,si,no,no,no,ordenada,electronica,no,salir,si
2112,mañana,madrugador,silencioso,secundaria,no,si,si,con mascotas,si,no,si,no,relajado,electronica,si,pelis,si
2113,tarde,madrugador,ruidoso,universidad,si,si,no,con mascotas,no,si,si,no,ordenada,electronica,no,salir,no
2114,tarde,nocturno,silencioso,universidad,si,no,no,con mascotas,si,si,si,si,relajado,salsa,si,salir,si
2115,tarde,madrugador,ruidoso,universidad,no,no,no,sin mascotas,si,si,no,no,ordenada,salsa,no,pelis,si
2116,noche,madrugador,silencioso,preparatoria,si,si,no,sin mascotas,no,no,no,no,relajado,cumbia,no,pelis,no
2117,tarde,nocturno,ruidoso,preparatoria,no,no,no,con mascotas,si,no,no,si,ordenada,electronica,no,pelis,si
2118,noche,madrugador,silencioso,secundaria,si,no,si,con mascotas,si,no,si,si,ordenada,pop,si,pelis,si
2119,noche,nocturno,silencioso,secundaria,no,si,no,con mascotas,no,no,si,no,ordenada,salsa,si,pelis,no
2120,noche,nocturno,ruidoso,preparatoria,si,si,no,sin mascotas,no,si,no,si,relajado,salsa,si,salir,si
2121,noche,nocturno,ruidoso,universidad,si,si,si,con mascotas,no,si,si,si,relajado,rock,no,salir,si
2122,tarde,madrugador,silencioso,secundaria,si,no,no,sin mascotas,si,no,no,no,ordenada,electronica,si,pelis,no
2123,tarde,nocturno,silencioso,secundaria,si,si,no,con mascotas,si,no,no,si,relajado,rock,no,pelis,no
2124,mañana,madrugador,silencioso,preparatoria,si,no,no,sin mascotas,si,si,no,no,ordenada,pop,si,pelis,no
2125,tarde,madrugador,silencioso,preparatoria,no,si,si,con mascotas,si,si,si,si,relajado,salsa,no,pelis,si
2126,mañana,madrugador,silencioso,universidad,si,si,no,sin mascotas,no,si,si,si,relajado,rock,si,salir,si
2127,mañana,nocturno,silencioso,preparatoria,si,no,no,con mascotas,si,no,si,si,ordenada,electronica,si,pelis,no
2128,mañana,nocturno,ruidoso,universidad,no,si,no,con mascotas,si,si,si,no,relajado,electronica,si,salir,si
2129,tarde,nocturno,silencioso,secundaria,no,si,si,sin mascotas,si,si,si,no,ordenada,salsa,no,pelis,si
2130,tarde,madrugador,silencioso,universidad,no,si,si,sin mascotas,si,no,si,si,ordenada,cumbia,no,pelis,no
2131,noche,madrugador,silencioso,preparatoria,no,no,no,sin mascotas,si,si,no,si,relajado,pop,si,pelis,si
2132,noche,madrugador,ruidoso,universidad,no,si,si,con mascotas,si,si,si,si,ordenada,salsa,no,salir,si
2133,tarde,nocturno,silencioso,preparatoria,no,no,no,sin mascotas,si,no,si,no,ordenada,rock,no,salir,no
2134,mañana,madrugador,ruidoso,universidad,no,no,no,sin mascotas,no,si,si,no,ordenada,salsa,no,pelis,si
2135,noche,nocturno,ruidoso,universidad,no,si,si,con mascotas,no,si,si,si,ordenada,rock,si,salir,si
2136,tarde,madrugador,ruidoso,preparatoria,no,si,no,sin mascotas,si,no,no,si,relajado,pop,si,salir,no
2137,noche,nocturno,silencioso,universidad,si,si,si,con mascotas,si,si,si,si,relajado,salsa,si,pelis,si
2138,mañana,madrugador,ruidoso,secundaria,si,no,si,con mascotas,si,no,no,no,relajado,electronica,no,salir,no
2139,tarde,madrugador,silencioso,preparatoria,no,no,no,sin mascotas,si,no,si,no,relajado,pop,si,salir,no
2140,tarde,madrugador,ruidoso,secundaria,no,si,si,con mascotas,si,si,no,si,ordenada,electronica,no,salir,si
2141,mañana,madrugador,ruidoso,secundaria,no,si,si,con mascotas,no,si,si,no,relajado,pop,no,salir,no
2142,noche,madrugador,silencioso,universidad,si,no,si,sin mascotas,no,no,si,si,ordenada,rock,si,pelis,no
2143,mañana,madrugador,ruidoso,preparatoria,si,no,si,con mascotas,no,si,si,si,relajado,cumbia,no,salir,si
2144,mañana,madrugador,silencioso,secundaria,no,no,si,con mascotas,si,no,si,si,ordenada,pop,si,salir,no
2145,mañana,nocturno,silencioso,preparatoria,no,no,si,con mascotas,si,no,si,no,ordenada,cumbia,no,pelis,no
2146,noche,nocturno,silencioso,preparatoria,no,no,si,con mascotas,no,si,si,si,relajado,rock,si,salir,no
2147,tarde,madrugador,ruidoso,preparatoria,no,si,si,sin mascotas,no,si,no,si,relajado,electronica,no,salir,si
